Index Category Description
355 History "Upheaval enlightens you by telling the stories of seven countries that fell into crises, including how they got there and what they did to get out, and identifies the common threads between all of them."
494 Technology "Chaos is a scientific piece of writing that presents the principles behind the Chaos Theory, which was popularized in the late 20th century and represents a monumental step forward in the area of scientific knowledge and the universe’s evolution overall."
7 "Personal Development" "8 Rules of Love offers a 4-stage model of love, loosely based on Indian tradition, along with 8 rules to help us progress through it and become more emotionally mature people in the process."
445 History "Caste unveils the hidden cultural and societal rules of our class system, including where it comes from, why it’s so deeply entrenched in society, and how we can dismantle it forever and finally allow all people to have the equality they deserve. "
19 Business "Be Our Guest shows you how to take better care of your customers by outlining the philosophy and systems that Disney has for taking care of theirs which have helped it become one of the most successful companies in the world."
4 History "Doubt: A History is a fascinating look at the historical influence of doubt on science, religion, and the way we think today."
78 "Personal Development" "Who Will Cry When You Die? helps you leave a lasting legacy of greatness after you're gone by giving specific tips on how to become the best version of yourself and the kind that makes others grateful for all of your contributions to their lives and the world."
465 "Personal Development" "David and Goliath explains why underdogs win in situations where the odds are stacked unfavorably against them, and how you can do the same."
491 Business "You Are A Badass At Making Money will help you stop making excuses and get over your bad relationship with money to become a money-making machine."
166 "Personal Development" "Big Potential will show you that the real secret to success and thriving in all aspects of life is developing strong connections with others and treating them in a way that lifts them up."
55 Other "Accidental Genius introduces you to the concept of freewriting, which you can use to solve complex problems, exercise your creativity, flesh out your ideas and even build a catalog of publishable work."
258 "Physical Health" "Breath is a fascinating and helpful guide to understanding the science of breathing, including how doing it slowly and through your nose is best for your lungs and body, and the many proven mental and physical benefits of being more mindful of how you inhale and exhale."
117 "Personal Development" "Toward a Psychology of Being encompasses the extended research of Abraham Maslow on the human condition, how people view their wants and needs, the process of psychological growth and how achieving a sense of fulfillment is possible by understanding your perspective on needs and the way your mind works."
283 "Physical Health" "Built to Move is a collection of 10 simple tests and practices you can use to instantly improve your mobility, fitness, breathing, eating, and sleeping, thereby increasing your freedom and quality of life all around."
489 Business "This Is Marketing argues that marketing success in today’s world comes from focusing more on the needs, values, and desires of our target audience, rather than spamming as many people as possible with our message."
433 "Personal Development" "You Are Not Your Brain educates you about the science behind bad habits and breaking them, giving you an actionable 4-step framework you can use to stop listening to your brain’s deceptive messages."
397 Business "Why Nations Fail dives into the reasons why economic inequality is so common in the world today and identifies that poor decisions of those in political power are the main reason for unfairness rather than culture, geography, climate, or any other factor."
198 "Personal Development" "Born A Crime will inspire you to make great things happen no matter what circumstances you're born into by revealing the story of how Trevor Noah grew up as a mixed child in South Africa on the way to becoming an adult."
418 Other "Don Quixote is a classic novel from 1605 which portraits the life and insightful journey of Don Quixote de la Mancha, a Spanish man who seems to be losing his mind on his quest to become a knight and restore chivalry alongside with a farmer named Sancho Panza, with whom he fights multiple imaginary enemies and faces a series of fantastic challenges."
403 Other "Farmageddon is a shocking compendium of the facts and figures about how the mass production of cheap meat influences our world, ranging from water and air pollution, to threatening species, to making us obese and sick, in order to show why we must return to more traditional farming techniques to sustainably feed the world."
407 "Personal Development" "Awaken The Giant Within is the psychological blueprint you can follow to wake up and start taking control of your life, starting in your mind, spreading through your body and then all the way through your relationships, work and finances until you're the giant you were always meant to be."
265 "Physical Health" "Eat To Beat Disease will help you be healthier and fight off infection by identifying how food affects your immune system and what to put into your body that will make you more resilient against illness."
248 "Personal Development" "Brave will help you have the relationships, career, and everything else in life that you've always wanted but have been afraid to go for by teaching you how to become more courageous."
217 Business "Confessions Of An Advertising Man is the marketing bible of the 60s, written by “the father of advertising,” David Ogilvy to inspire a philosophy of honesty, hard work and ethical behavior in his industry."
162 "Personal Development" "The Undoing Project talks about the life and extensive research in the psychology of Kahneman and Tversky by bringing forth some of the most influential and groundbreaking discoveries they unveiled about human behavior and the biases in our decisions."
462 "Personal Development" "Do What You Are will help you discover your personality type and how it can lead you to a more satisfying career that corresponds to your talents and interests"
392 "Physical Health" "Brain Food delves into the topic of nutrition and how certain foods and nutrients can affect the well-being of the brain, its memory function, its cognitive capability, and how what we ingest can reverse the brain’s inclination to develop certain diseases."
434 History "The Tao Te Ching is a collection of 81 short, poignant chapters full of advice on living in harmony with “the Tao,” translated as “the Way,” an ancient Chinese interpretation of the spiritual force underpinning all life, first written around 400 BC but relevant to this day."
144 "Personal Development" " 30 Lessons For Loving gives the relationship advice of hundreds of couples who have stayed together into old age and will teach you how to have happiness and longevity in your love life."
35 "Personal Development" "Descartes’ Error will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case studies to identify how the body and our emotions play a vital role in logical thinking."
328 "Personal Development" "The Social Leap will help you understand human nature better by explaining the most significant event in our species’ evolutionary history and looking at how we adapted socially, emotionally, and psychologically to survive."
88 "Personal Development" "Are You Fully Charged shows you the three keys to arriving at work and life with a battery that’s brimming with happiness and motivation, which are energy, interactions and meaning, and how to implement them in your day."
310 "Personal Development" "Your Best Year Ever gives powerful inspiration to change your life by helping you identify what you should improve on, how to get over the hurdles in your way, and the patterns and habits you need to set so that achieving your dreams is more possible than ever."
28 Other " An Ugly Truth offers a critical look at Facebook and its administrators, who foster a gaslighting environment and a controversial social media platform that can easily become a danger for its users both virtually and in real life due to its immense power and influence on our society."
378 "Personal Development" "Do The Work is Steven Pressfield’s follow-up to The War Of Art, where he gives you actionable tactics and strategies to overcome resistance, the force behind procrastination."
270 Business "Trust Me, I’m Lying is a marketer’s take on how influential blogs have become, why that’s something to worry about, and which broken dynamics govern the internet today, including his own confessions of how he gamed that very system to successfully generate press for his clients."
257 "Personal Development" "Don't Sweat The Small Stuff (… And It’s All Small Stuff) will keep you from letting the little, stressful things in life, like your email inbox, rushing to trains, and annoying co-workers drive you insane and help you find peace and calm in a stressful world."
157 Business "23 Things They Don't Tell You About Capitalism will help you think more clearly about our current economic state by uncovering the hidden consequences of free-market capitalism and offering solutions that could give us all a more fair world"
210 Business "Expert Secrets teaches you how to create and implement an informative marketing plan and putting it into practice, while also showing you what problem you must solve for your prospects or teach them how to do it themselves."
84 "Personal Development" "Think Small gives the science-backed secrets to following through with your goals, identifying seven key components that will help you use your own human nature to your advantage for wild success like you've never had before."
323 History "Through The Language Glass explains how the language you speak fundamentally alters your reality and how nature, culture and language have all been intertwined all throughout history."
463 Business "What I Learned Losing A Million Dollars shows you how to recognize and steer clear of the pitfalls of stock investing by sharing the story of one man who made some bad investment decisions and had to deal with some pretty terrible consequences because of them."
228 History "The Sunflower recounts an experience of holocaust survivor Simon Wiesenthal, in which he had to make a tough choice about whether to forgive or not, and explores over 50 different perspectives on forgiveness from people with various religious, cultural and ethnic backgrounds."
467 Business "Capitalism shows you how the movement of money in the world really works by outlining the dominant system in the world and its origins and future."
105 "Personal Development" "Dear Girls is a collection of letters written by comedian Ali Wong to her two daughters, recounting tales from her youth and life in an attempt to pass on some hard-earned wisdom to them and anyone willing to listen to her story."
149 Business "Zero To One is an inside look at Peter Thiel’s philosophy and strategy for making your startup a success by looking at the lessons he learned from founding and selling PayPal, investing in Facebook and becoming a billionaire in the process."
214 Other "A Crack In Creation will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans."
393 Other "Braiding Sweetgrass offers some great ways for all of us to take better care of and be more grateful for our planet by explaining the way that Native Americans view and take care of it."
90 "Personal Development" "Unlearn will show you how to win even in changing circumstances by revealing why the patterns you used for past successes won't always work and how to adopt a learning attitude to stop them from holding you back."
125 Business "Trillion Dollar Coach will help you become a better leader in the office by sharing the life and teachings of businessman Bill Campbell who helped build multi-billion dollar companies in Silicon Valley."
299 History "A Universe From Nothing will enlarge your knowledge of our expanding universe by showing you how it began, what we're learning about it now, and what will happen to it in the future."
238 Business "Building A StoryBrand is your guide to turning your sales pages and product into an adventure for your clients by identifying the seven steps to successful storytelling as a company and how to craft the clearest message possible so that they will understand and want to be part of it."
438 Other "The War Of Art brings some much needed tough love to all artists, business people and creatives who spend more time battling the resistance against work than actually working, by identifying the procrastinating forces at play and pulling out the rug from under their feet."
288 History "A Higher Loyalty shares James Comey’s experiences as the director of the FBI and outlines what he learned about leadership, ethics, and politics throughout his life, career, and experiences with President Trump who was the reason he lost his job in May of 2017."
14 "Personal Development" "13 Things Mentally Strong Parents Don't Do teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits."
66 History "Alexander Hamilton will inspire you to boldly use your strengths to change the world as it tells the story of a poor orphan who grew to become one of the most intelligent, ambitious, and influential people in American history."
413 "Personal Development" " Aware is a comprehensive overview of the far-reaching benefits of meditation, rooted in both science and practice, enriched with actionable advice on how to practice mindfulness."
141 "Personal Development" "Work Less Finish More is a hands-on guide to adopting a more focused frame of mind and developing habits that will enhance your productivity levels, give you a sense of accomplishment and put you in the right direction in order to achieve your objectives."
169 "Personal Development" "Thoughts Without A Thinker helps you get more peace, overcome mental illness, and ease suffering by outlining the principles of Buddhism, mindfulness, and meditation as they relate to psychoanalysis."
311 Other "The World Without Us imagines planet earth without us humans, detailing what will happen to nature and man-made creations long after we're gone."
243 History "What Happened is Hillary Clinton’s post-mortem on the events and surprising result of her bid for the 2016 United States presidential election, including why she ran for president in the first place, what made it so hard for her to come out on top, and how the loss affected her after election night."
224 "Physical Health" "Ending Aging describes how the process of aging is like a disease and therefore, treatable, by outlining the seven primary ways in which we age and possible antidotes to all of them, plus a glimpse into the future of potentially indefinite human life."
72 "Personal Development" "Your Brain At Work helps you overcome the daily challenges that take away your brain power, like constant email and interruption madness, high levels of stress, lack of control and high expectations, by showing you what goes on inside your head and giving you new approaches to control it better."
501 "Physical Health" "In Defense Of Food describes the decline of natural eating in exchange for diets driven by science and nutritional data, how this decline has ruined our health, and what we can do to return to food as a simple, cultural, natural aspect of life."
34 History "A World In Disarray will open your mind to new ways of making the world a more peaceful place by guiding you through the major changes in global affairs since World War II."
307 "Personal Development" "Feel-Good Productivity offers a well-structured toolkit for crafting your own, joy-based, sustainable philosophy for work and life, rooted in 3 pillars and up to 54 science-backed experiments."
153 History "Elon Musk is the first official biography of the creator of SolarCity, SpaceX and Tesla, based on over 30 hours of conversations with Musk himself, highlighting his complicated childhood, the way he makes decisions and navigates the world, and how he managed to disrupt multiple industries, all with the goal of saving humanity."
333 "Personal Development" "Atlas of the Heart maps out a series of human emotions and their meaning and explores the psychology behind a human’s feelings and how they make up our lives and change our behaviors, and how to build meaningful connections by learning how to deal with them."
86 "Personal Development" "The Wisdom of the Bullfrog breaks down 18 sayings, mottos, and parables used in the military, which helped admiral William H. McRaven throughout his four-decade Navy SEAL career to lead and inspire himself and others."
246 Business "Evicted reveals the awful situation of those living in the poorest cities in the United States by identifying how this situation came to be, the horrendous effect it has on the individuals and families that deal with it, and what we might do to stop it."
436 "Physical Health" "Eat To Live will help you lose weight, feel better, and live longer by identifying the flaws in what we think is true about nutrition and using science and case studies to reveal how certain foods affect us for better or worse."
435 History "Why Is Sex Fun takes a humorous look at the evolution of human sex life, explaining why the way we behave sexually is often odd, but necessary for our survival."
381 History "Walden details Henry David Thoreau’s two-year stay in a self-built cabin by a lake in the woods, sharing what he learned about solitude, nature, work, thinking and fulfillment during his break from modern city life."
203 "Physical Health" "The Telomere Effect shows you how to live healthier and stay younger longer by identifying an important part of your physiology that you might have never heard of and teaching you how to take great care of it."
133 Business "Blitzscaling is the strategy some of today’s most valuable companies have used to achieve huge market shares, insanely fast growth, big profit margins, and become corporate giants in a very short time."
49 Technology "A World Without Email presents a utopia where people engage in their usual professional activities without using emails as a means of communication, and explores a new way of working that Doesn't rely on instant messaging, which is known for decreasing productivity at the workplace."
386 History "Chernobyl teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath."
181 "Personal Development" "What Happened to You? is an analysis of how traumatic experiences affect our brains throughout our lives, showing how they change our coping mechanisms, and why we must consider both the individual and collective side of mental health if we are to resolve our emotional challenges not just for ourselves but for society at large."
485 Business "Facebook Ads Manual gives you an exact, step-by-step tutorial to create and run your first Facebook ads campaign, allowing you to market your product, page, or yourself to a massive audience for next to no money and make you a true social media marketer."
73 Technology "Digital Renaissance uses empirical data to show that the digitization of media has led to a flood of art, but that its average quality hasn’t changed."
170 "Personal Development" "Be Useful is an autobiographical collection of 7 rules that helped fitness legend, Hollywood icon, and former California governor Arnold Schwarzenegger live life to the fullest, ready to keep you inspired and taking action until your dreams come true."
97 History "Chasing The Scream is a scathing review of the failed war on drugs, explaining its history with surprising statistics and identifying new ways that we can think about addiction, recovery, and drug laws."
395 "Personal Development" "Wherever You Go, There You Are explains what mindfulness is and why it’s not reserved for Zen practitioners and Buddhist monks, giving you simple ways to practice it in everyday life, both formally and informally, while helping you avoid the obstacles on your way to a more aware self."
424 Other "The Tipping Point explains how ideas spread like epidemics and which few elements need to come together to help an idea reach the point of critical mass, where its viral effect becomes unstoppable."
302 "Personal Development" "Brotopia motivates you to be fairer in the workplace as an employee or employer by revealing the sad sexist state of Silicon Valley."
305 History "Elon Musk is an intimate account of the life of the man who might be the 21st century’s most important innovator, engineer, and businessman, based on over two years of shadowing him through the ups and downs of his everyday life running Tesla, SpaceX, and four other world-changing companies."
206 Other "What’s Our Problem? explains what’s going on in our modern times, why everyone seems to be acting crazy, and how societies function, fall, and thrive, using plenty of original frameworks to give us new, better ways of thinking and communicating in our complicated world."
496 Technology "Blockchain Revolution explains how the power of this new technology behind Bitcoin can transform our world financially by improving the way we store our money and do business to make it more fair, transparent, equal, and free from corruption."
100 "Personal Development" "Discipline Is Destiny is a three-part manual to master and implement the Stoic virtue of temperance, aka discipline, in your life, thus improving your body, mind, and spirit."
480 "Personal Development" "Unlimited Memory explores the most effective ways to retain information and improve memory skills by teaching its readers some key aspects about the brain and explaining advanced learning strategies in an easy-to-follow manner."
93 "Personal Development" "The Third Door follows an 18-year-old’s wild quest of interviewing many of the world’s most successful people to discover what it takes to get to the top."
464 Other "The Soul Of An Octopus will make you smarter about animal life in the ocean by explaining the fascinating abilities, brilliance, and personalities of octopuses."
272 "Personal Development" "Willpower is a blend of practical tips and the latest scientific research on self-control, explaining how willpower works, what you can do to improve it, how to optimize it and which steps to take when it fails you."
24 "Personal Development" "The Wisdom Of Insecurity is a self-help classic that breaks down our psychological need for stability and explains how it’s led us right into consumerism, why that won't solve our problem and how we can really calm our anxiety."
168 "Physical Health" "Born To Run explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training."
159 "Personal Development" "Your Best Just Got Better shows you how to tackle productivity and performance with the best techniques to help you work smarter, get more done and stay inspired."
193 "Personal Development" "All About Love teaches you how to get more affection and connection in your relationships by explaining why true love is so difficult these days and how to combat the unrealistic expectations society has set up that makes it so hard."
25 "Physical Health" "The Uninhabitable Earth explains how humanity’s complacency and negligence have put this world on a course to soon be unlivable unless we each do our small part to improve how we care for this beautiful planet we live on."
189 "Personal Development" "Educated will help you become more grateful for your schooling, freedom, and normal relationships by explaining the family difficulties that Tara Westover had to break free of so that she could get her own education."
421 History "The Truths We Hold is the autobiography of civil rights activist, California Senator, and Vice President Kamala Harris, which details her early years in the justice system fighting for the people and what she has been doing in the last few years to help those suffering from the inefficiencies in the United States government."
340 "Personal Development" "Anatomy Of An Epidemic teaches you how to make better decisions about your mental health as it uncovers the questionable origin of medication and reveals the interesting connection between psychiatry and pharmaceutical companies."
366 Business "Choose Yourself is a call to give up traditional career paths and take your life into your own hands by building good habits, creating your own career, and making a decision to choose yourself."
429 "Personal Development" "Ego Is The Enemy reveals why a tendency that’s hardwired into our brains — the belief that the world revolves around us and us alone — keeps holding us back from living the very life it dreams up for us, including what we can do to overcome our ego, be kinder to others and ourselves, and achieve true greatness."
52 "Personal Development" "Fail Fast Fail Often outlines the importance of accepting failure as a natural part of our life, and how by embracing it instead of fearing it can improve the way we evolve, grow, learn and respond to new experiences and people. "
43 "Personal Development" "Areté is the ultimate guide to Personal Development, providing 451 short ideas across 7 disciplines, combined from ancient philosophy, modern science, and the world’s best books, in order to help you become the hero of your own story and achieve your full potential."
173 "Personal Development" "Tribe of Mentors is a collection of over 100 mini-interviews, where some of the world’s most successful people share their ideas around habits, learning, money, relationships, failure, success, and life."
324 Business "The Ultimate Sales Machine is the legacy Chet Holmes left to help sales staff all over the world, by giving them 12 key strategies to relentlessly focus and execute on, in order to at least double their sales."
15 "Personal Development" "Doughnut Economics is a wake-up call to transform our capitalist worldview obsessed with growth into a more balanced, sustainable perspective that allows both humans and our planet to thrive."
486 "Personal Development" "When Things Fall Apart gives you the confidence to make it through life’s inevitable setbacks by sharing ideas and strategies like mindfulness to grow your resilience and come out on top."
